time a b
28840 574 1362
28840 164 779
28860 447 763
28860 117 429
28880 447 763
28900 215 1414
28900 97 1204
28900 461 1245
28900 20 1209
28900 15 20
28920 20 985
28920 200 1323
28920 447 763
28920 215 491
28920 20 649
28920 425 447
28920 215 242
28920 720 1090
28940 117 147
28940 200 440
28940 372 461
28940 20 77
28980 295 447
28980 27 763
28980 160 425
29000 447 763
29000 215 1414
29000 20 74
29020 122 649
29020 447 763
29020 649 977
29040 77 649
29040 97 429
29080 74 434
29080 215 1414
29100 242 461
29100 372 461
29100 426 741
29100 215 985
29120 447 763
29120 290 1492
29120 290 1204
29140 425 447
29140 97 147
29140 15 429
29160 200 461
29180 89 200
29200 372 977
29200 77 387
29220 20 1204
29240 574 1362
29240 574 977
29240 20 491
29260 220 432
29260 122 649
29260 220 434
29260 447 763
29260 77 779
29260 220 378
29260 55 434
29260 426 649
29260 220 779
29320 117 147
29320 89 461
29380 122 779
29400 859 1245
29400 117 429
29400 200 1245
29420 117 147
29420 74 1209
29420 447 763
29420 147 200
29420 200 574
29420 71 859
29440 574 1362
29440 20 985
29460 200 1245
29460 74 1492
29460 491 1414
29480 372 977
29480 74 77
29480 20 1245
29500 20 1209
29540 649 985
29580 429 441
29580 1323 1414
29580 447 763
29580 97 1414
29620 242 1362
29620 164 432
29620 487 977
29640 89 461
29640 74 426
29640 147 434
29660 215 1492
29660 117 441
29660 122 215
29680 122 1492
29680 74 372
29680 429 432
29680 122 779
29680 77 649
29680 74 985
29680 985 1209
29680 426 985
29680 372 1414
29680 387 1204
29680 74 426
29680 164 779
29680 461 779
29680 475 677
29700 74 77
29700 71 491
29700 491 985
29700 117 434
29700 387 649
29700 242 1492
29700 751 1492
29700 461 649
29720 117 200
29720 20 977
29720 432 649
29720 3 200
29720 779 1245
29720 440 779
29740 3 1090
29740 215 1362
29740 117 1090
29760 20 215
29760 71 378
29760 435 491
29780 74 977
29780 97 461
29780 71 74
29800 158 440
29800 447 763
29800 290 1204
29800 117 461
29800 15 77
29800 720 1090
29820 447 763
29820 77 97
29820 20 122
29820 71 1090
29840 475 677
29840 401 441
29860 74 1209
29860 20 117
29880 89 649
29880 71 242
29880 649 1323
29880 77 649
29880 859 1414
29880 89 859
29880 20 426
29880 27 763
29900 475 653
29900 74 434
29900 122 1362
29900 122 426
29900 122 1492
29920 215 977
29920 122 1245
29920 215 290
29920 117 1090
29940 220 387
29940 220 378
29940 117 859
29940 3 20
29940 77 117
29940 117 1090
29940 387 859
29960 425 447
29960 74 426
29960 74 985
29980 159 653
30000 425 544
30000 295 544
30000 909 970
30020 460 489
30020 200 290
30020 290 574
30020 99 236
30020 378 741
30020 99 628
30020 387 741
30040 160 677
30040 79 173
30040 429 440
30060 429 441
30060 77 215
30060 491 574
30080 117 147
30080 401 977
30080 401 1362
30100 378 432
30100 649 1362
30100 147 1245
30100 242 1362
30100 1323 1492
30100 117 432
30100 387 435
30100 71 1204
30100 440 461
30100 89 242
30120 215 1090
30120 122 779
30120 487 491
30120 3 401
30120 242 432
30120 97 215
30120 74 122
30120 215 720
30120 215 426
30120 20 1414
30120 164 779
30120 3 491
30120 491 1260
30140 491 1492
30140 200 401
30140 200 1323
30140 487 491
30140 751 1090
30140 387 432
30140 720 779
30140 3 290
30140 55 1323
30140 487 1260
30140 164 432
30140 147 401
30140 117 1323
30160 89 649
30160 461 491
30160 401 1414
30160 435 859
30160 89 432
30160 164 603
30160 491 977
30160 71 401
30160 20 1245
30160 164 487
30160 290 1323
30160 290 603
30160 117 429
30180 491 603
30180 372 432
30180 164 1090
30180 372 977
30180 20 1090
30180 372 1492
30180 242 649
30180 859 1260
30180 491 720
30180 156 425
30180 122 1323
30180 20 74
30180 220 1414
30180 429 1090
30180 55 1260
30200 200 290
30200 34 677
30220 378 1260
30240 720 985
30240 147 387
30260 491 1204
30260 89 432
30260 74 242
30280 434 1260
30280 1260 1492
30280 441 1090
30300 122 426
30320 491 977
30320 387 491
30320 79 156
30320 242 1492
30320 77 491
30320 173 460
30340 117 200
30340 387 432
30340 79 156
30340 74 77
30340 242 435
30340 117 491
30340 74 491
30340 164 1414
30360 79 156
30360 74 77
30360 464 677
30360 165 447
30380 220 720
30380 79 156
30380 147 220
30400 74 1362
30420 242 491
30420 200 461
30420 378 461
30440 89 387
30440 441 1090
30460 117 147
30460 215 378
30460 117 859
30460 242 1245
30460 242 378
30480 387 432
30480 242 432
30480 147 441
30480 215 220
30500 117 200
30500 89 432
30500 1090 1362
30500 117 242
30520 20 441
30540 220 242
30540 77 649
30540 165 447
30540 215 720
30560 77 985
30560 71 429
30560 74 290
30560 71 290
30560 34 245
30560 491 1414
30560 71 859
30560 147 429
30560 117 441
30560 440 461
30560 429 859
30580 164 440
30580 122 649
30580 71 387
30580 122 1260
30580 164 720
30580 160 165
30580 628 763
30580 429 649
30580 147 164
30580 242 1260
30580 20 435
30580 435 720
30580 242 1204
30600 259 628
30600 447 884
30600 440 751
30600 89 1492
30600 117 378
30600 215 1492
30600 165 884
30600 434 1260
30620 429 432
30620 74 215
30620 432 1414
30620 27 628
30620 464 909
30620 378 720
30640 117 147
30640 649 720
30640 200 1323
30640 649 1362
